=======================================================================
       P_300 BULK PATTERN EXTRACTION -- PIPELINE A-BULK
=======================================================================

Scans data\bulk\ for unprocessed *_Pattern_*.xlsx exports and writes
detections to models\research\bulk_research.db. Never touches the
live catalog or Pipeline A/B. Checkpoint-resumable -- safe to
interrupt and re-run.

[STEP 1] Running bulk-extract...

2026-07-09 18:32:59,752 | INFO | application.bulk_extract_pipeline | 10_Pattern_KO.xlsx: 30 raw hits -> 30 after spacing
2026-07-09 18:32:59,757 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 57, 'source_files': 57, 'feature_sets': 1, 'pattern_instances': 1397, 'pattern_bars': 27940, 'pattern_features': 0, 'forward_labels': 6985}
2026-07-09 18:32:59,770 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-09 18:32:59,774 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 58, 'source_files': 58, 'feature_sets': 1, 'pattern_instances': 1398, 'pattern_bars': 27960, 'pattern_features': 0, 'forward_labels': 6990}
2026-07-09 18:32:59,787 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-09 18:32:59,791 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 58, 'source_files': 58, 'feature_sets': 1, 'pattern_instances': 1399, 'pattern_bars': 27980, 'pattern_features': 0, 'forward_labels': 6995}
2026-07-09 18:32:59,803 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-09 18:32:59,807 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 58, 'source_files': 58, 'feature_sets': 1, 'pattern_instances': 1400, 'pattern_bars': 28000, 'pattern_features': 0, 'forward_labels': 7000}
2026-07-09 18:32:59,819 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-09 18:32:59,824 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 58, 'source_files': 58, 'feature_sets': 1, 'pattern_instances': 1401, 'pattern_bars': 28020, 'pattern_features': 0, 'forward_labels': 7005}
2026-07-09 18:32:59,836 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-09 18:32:59,840 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 58, 'source_files': 58, 'feature_sets': 1, 'pattern_instances': 1402, 'pattern_bars': 28040, 'pattern_features': 0, 'forward_labels': 7010}
2026-07-09 18:32:59,850 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-09 18:32:59,854 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 58, 'source_files': 58, 'feature_sets': 1, 'pattern_instances': 1403, 'pattern_bars': 28060, 'pattern_features': 0, 'forward_labels': 7015}
2026-07-09 18:32:59,866 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-09 18:32:59,869 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 58, 'source_files': 58, 'feature_sets': 1, 'pattern_instances': 1404, 'pattern_bars': 28080, 'pattern_features': 0, 'forward_labels': 7020}
2026-07-09 18:32:59,880 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-09 18:32:59,884 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 58, 'source_files': 58, 'feature_sets': 1, 'pattern_instances': 1405, 'pattern_bars': 28100, 'pattern_features': 0, 'forward_labels': 7025}
2026-07-09 18:32:59,896 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-09 18:32:59,901 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 58, 'source_files': 58, 'feature_sets': 1, 'pattern_instances': 1406, 'pattern_bars': 28120, 'pattern_features': 0, 'forward_labels': 7030}
2026-07-09 18:32:59,912 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
